	Player	Tm	PTS	Age	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF
10	Paolo Banchero	ORL	27.0	-1.2950604715425196	-0.1600686580830264	0.5449231246082774	1.3022192134021524	2.187577105998154	2.3467092190452234	0.2624411936388892	1.4340570109066455	1.2061184400592695	0.6719497410331484	2.1071204931964616	2.550053244077498	0.0718947846208721	0.1873442516173559	2.161714279238452	2.4458234112529054	0.4757305236081263	1.2784511489884818	1.7233973688890127	1.7288547110550263	1.098858099243275	1.1268897465052792	0.4700209917823021	3.8015797741152335	0.3483795409592223
20	Devin Booker	PHO	27.5	0.0246678185055717	-0.7096091847637908	0.0289339712181385	1.608365119953169	1.623990567394565	1.5350403334819995	0.4571491054064162	0.9142599236200228	0.9246031045639774	0.4317431985684052	1.6630992201694743	1.592508563101364	0.4134101621989752	0.3591452413162146	4.610233275835287	3.967353091509074	1.0137203074371703	-0.5782375855504789	0.1556735136616006	-0.0563483236123178	2.1014402064189768	2.531283124429495	-0.1803097770199348	1.9186319420602151	2.5156243597171755
27	Jalen Brunson	NYK	32.4	0.0246678185055717	0.9390123952785024	1.5769014313885548	1.4814265733344547	2.817467943260989	3.142144726897182	0.1975385563830467	1.122178758534672	1.5278502520538897	0.239577964596611	2.9951630392504347	3.463060963147764	0.1194475587140257	0.0537212596293548	3.1955334111348934	3.4601765314236834	0.5306274403253757	-0.2505866323965446	0.0250298590593163	-0.0563483236123178	2.8533767868007534	0.5250068702520436	-0.3970866999540138	1.81402372916827	0.3483795409592223
42	Luka Don?i?	DAL	28.9	-0.6351963265184739	2.587633975320795	3.124868891558972	1.5635632799700934	2.3533378526462685	2.6064432624254543	0.2083556625923538	2.2657323505652425	2.774561023533041	0.2972275347881493	1.9860237823709197	2.0378781821600307	0.3269505729386959	0.2064332504727847	2.161714279238452	2.4458234112529054	0.503178981966751	-0.1413696480118999	2.6379029511050027	2.032002396187217	3.154151418953464	2.73191074984724	0.0364671459141442	3.278538709655506	0.7818285047108129
44	Kevin Durant	PHO	26.8	1.784305538569693	-0.7096091847637908	0.0289339712181385	1.645699986605732	2.054968508679663	1.616207222038322	0.7816622916856284	0.3944628363333998	0.1202735745774279	0.7536199654711608	2.349313914847545	2.1492205869246974	0.5258076282373378	0.5691242287259302	3.0867103446194784	3.137427811369345	0.6651248862826366	-0.5782375855504789	1.5927537142867283	1.0215101124132484	0.7479543617317793	-0.0768760060011918	2.4210132981890133	1.6048073033843788	0.3483795409592223
45	Anthony Edwards	MIN	27.6	-1.0751057565345044	1.4885529219592666	2.0928905847786936	1.5411623599785558	2.220729255327777	2.1843754419325787	0.3976550212552273	2.057813515650593	1.8093655875491816	0.6719497410331484	1.9052926418205585	1.9933412202541645	0.2837207783085563	0.3877787395993577	2.1073027459807445	2.1691816512063293	0.6376764279240118	0.2954982895266791	1.4185621748170163	1.1899254930422432	2.3520857332129026	1.9294002481762595	0.4700209917823021	2.4416730065199426	0.6084489192101765
46	Joel Embiid	PHI	33.0	0.4645772485216021	-0.3432488336432812	0.3729267401448978	1.5934311732921436	2.220729255327777	2.492809618446603	0.1975385563830467	1.330097593449321	1.5278502520538897	0.3500729741303928	2.228217204022003	2.5723217250304304	0.1237705381770396	0.1014437567679266	5.371994741443191	5.212241011718666	0.7611944905378231	2.589054961604219	2.2024241024307223	2.469882385822604	1.9510528903426216	1.327517371923024	2.4210132981890133	3.383146922547452	1.4753468467133577
56	Shai Gilgeous-Alexander	OKC	30.2	-0.4152416115104587	0.3894718685977379	1.060912277998416	1.488893546664967	2.651707196612875	2.525276373869132	0.4787833178250303	0.7063410887053737	0.4017889100727203	0.8256819282105838	2.9547974689752543	3.240376153618431	0.2059071479743049	0.2875614956083568	2.7602411450732336	2.9529999713382944	0.5718001278633128	-0.0321526636272551	1.6363015991541567	1.2572916452938412	2.3019566278541173	1.5281449973407693	2.8545671440571714	1.2909826647085425	1.3019672612127218
92	LeBron James	LAL	27.8	2.664124398601754	-0.526429009203536	0.2009303556815181	1.5560963066395803	2.6848593459424976	2.1032085533762563	0.8573820351507773	1.122178758534672	1.0050360575626325	0.5998877782937255	2.833700758149712	2.3273684345481644	0.733310642462008	0.693202721286217	1.1278951473420102	1.3392563710666012	0.4318129902343267	-0.0321526636272551	1.4621100596844443	1.1225593407906451	3.50505515646496	3.735048876935966	1.3371286835186182	2.96471407097967	0.5217591264598587
97	Nikola Joki?	DEN	28.7	0.2446225335135869	0.7558322197182475	1.4049050469251754	1.5112944666565054	2.651707196612875	2.1843754419325787	0.7438024199530536	0.2905034188760751	0.6833042455680127	0.0185879455290475	3.1162597500759768	2.6168586869362978	0.7030497862209103	0.4927682333042152	2.161714279238452	1.938646851167516	0.8764780156440469	3.0259228991427976	3.116929684646713	3.345642365093376	3.454926051106174	1.7287726227585145	0.6867979147163811	2.4416730065199426	0.9552080902114494
109	Damian Lillard	MIL	31.3	1.3443961085536629	-0.7096091847637908	0.0289339712181385	1.421690786690354	1.7897513140426795	2.1843754419325787	0.0677332818713618	4.24096128225441	3.739756459516901	0.7536199654711608	0.5328632524644171	0.9244541345133638	-0.1572231269188677	0.344828492174643	4.33817560954675	3.598497411446972	1.076851761662007	-0.3598036167811894	0.0685777439267442	-0.0563483236123178	1.6001491528311258	0.9262621210875338	-0.8306405458221718	1.3955908776004875	0.3483795409592223
119	Tyrese Maxey	PHI	29.8	-0.8551510415264891	-0.3432488336432812	0.3729267401448978	1.832374319868547	2.618555047283252	2.622676640136719	0.3814293619412667	2.88948885530919	2.613695117535731	0.6719497410331484	2.0667549229212807	2.1492205869246974	0.3010126961606121	0.4164122378825008	1.56318741340367	1.385363331074364	0.8545192489571471	-0.6874545699351235	1.026631211010163	0.5836301227778622	2.5024730492892573	0.5250068702520436	-0.1803097770199348	1.2909826647085425	0.9552080902114494
128	Khris Middleton	MIL	24.7	1.1244413935456476	-0.3432488336432812	0.3729267401448978	1.3694219733767656	2.02181635935004	1.97334153168614	0.4030635743598808	0.9142599236200228	1.0050360575626325	0.4557638528148796	2.0667549229212807	2.1492205869246974	0.3010126961606121	0.2875614956083568	1.7264220131767922	1.523684211097652	0.8737331698081845	1.2784511489884818	1.9846846780935816	1.93095316780982	1.4497618367547709	-0.0768760060011918	-0.3970866999540138	1.3955908776004875	2.255554981466221
133	Donovan Mitchell	CLE	29.6	0.0246678185055717	0.3894718685977379	1.060912277998416	1.3619550000462537	2.519098599294383	2.5415097515803966	0.3706122557319596	2.057813515650593	2.2115303525424563	0.4509597219655847	2.268582774297184	2.260562991689364	0.3658573881058216	0.3305117430330714	2.161714279238452	2.215288611214092	0.6404212737598743	-0.2505866323965446	0.9395354412753066	0.6509962750294602	1.4497618367547709	1.5281449973407693	-0.1803097770199348	1.9186319420602151	1.1285876757120854
183	Jayson Tatum	BOS	25.0	-0.4152416115104587	2.038093448640031	2.608879738168832	1.5262284133175303	1.7565991647130563	2.0707417979537275	0.1055931536039366	1.2261381759919965	1.8495820640485088	0.1098664316656496	1.6630992201694743	1.8151933726306968	0.2275220452893747	0.0441767602016404	2.651418078557819	2.5380373312684306	0.766684182209548	0.0770643207573895	2.681450835972432	2.0993685484388145	2.2518275224953315	1.1268897465052792	0.6867979147163811	1.7094155162763245	1.041897882961767
